document_id,category,title,content,keywords
KB000001,Account Management,Everything You Need to Know About Account Deactivation on Desktop,Deactivating your account on Desktop temporarily hides your profile without deleting your data. You can reactivate at any time simply by signing back in.,"deactivate account, temporary account pause, hide profile"
KB000002,Privacy and Security,Everything You Need to Know About Login Activity on the Website,Reviewing your recent login activity on the Website helps you spot anything you do not recognize. Look for unfamiliar locations or timestamps and change your password if something looks off.,"review login activity, recent sign ins, suspicious activity"
KB000003,Billing and Payments,Access Your Invoice: A Simple Guide,"You can view and download your invoices from Android at any time under the billing section of your account. Each invoice lists the charge date, amount, and payment method used, and can be exported as a PDF for your records.","download invoice, view billing history, receipt, invoice pdf"
KB000004,Billing and Payments,Everything You Need to Know About Subscription Charge on Desktop,"Subscription charges on Desktop appear on the billing date shown in your account settings. If a charge looks unfamiliar, review your active plans and linked family or team members before contacting support.","unexpected charge, subscription billing, recurring payment, billing cycle"
KB000005,Subscription and Plans,Subscription Cancellation Requesting: Step by Step,You can cancel your subscription on the Mobile App at any time from the billing settings page. Access continues until the end of the current billing period.,"cancel subscription, stop recurring billing, end plan"
KB000006,Technical Support,Everything You Need to Know About Notifications on Android,"If notifications are not appearing on Android, check that notification permissions are enabled at the device level and that do not disturb mode is turned off.","notifications not working, push notifications disabled, missing alerts"
KB000007,Account Management,Everything You Need to Know About Profile Details on the Website,"Updating your profile details on the Website takes only a minute and helps keep your account information current. Open your account settings, edit your name, phone number, or address, and save the changes.","update profile, edit account details, change personal information"
KB000008,Account Management,Email Address Changing: Step by Step,"You can change the email address linked to your account on iOS from the account settings page. A confirmation link will be sent to the new address, and it must be verified before the change takes effect.","change email, update email address, verify new email"
KB000009,Orders and Shipping,Everything You Need to Know About Shipping Address on Desktop,"You can update your shipping address on Desktop before an order ships. Once a package is in transit, contact support to see if a redirection is possible.","change shipping address, update delivery address, wrong address"
KB000010,General FAQ,Track Your Common Questions: A Simple Guide,This article explains what your most common question about Android usually covers and links to detailed guides for each topic.,"common question, faq, help topics"
KB000011,Subscription and Plans,Plan Upgrade Doing: Step by Step,Upgrading your plan on iOS takes effect immediately and unlocks additional features right away. Any price difference is prorated for the current billing period.,"upgrade plan, unlock more features, prorated charge"
KB000012,Privacy and Security,How to Review Your Login Activity on the Mobile App,Reviewing your recent login activity on the Mobile App helps you spot anything you do not recognize. Look for unfamiliar locations or timestamps and change your password if something looks off.,"review login activity, recent sign ins, suspicious activity"
KB000013,Privacy and Security,Read Your Terms of Service: A Simple Guide,The current terms of service for iOS are available in the legal section of your account and outline the rules for using the product.,"terms of service, user agreement, legal terms"
KB000014,Account Management,How to Request Your Account Deletion on Android,"If you want to permanently delete your account on Android, go to account settings and select the delete account option. This action removes your data and cannot be undone, so make sure to export anything you want to keep first.","delete account, close account, permanent account removal"
KB000015,Account Management,Use Your Account Recovery: A Simple Guide,"If you lose access to your account on Android, the account recovery flow will ask you to verify your identity using a backup email, phone number, or security questions.","account recovery, recover lost account, identity verification"
KB000016,Account Management,Username Changing: Step by Step,"Your username can be changed once every thirty days on the Website from the profile settings page. Choose something unique, as usernames cannot be reused once released.","change username, update display name"
KB000017,Subscription and Plans,Do Your Plan Downgrade: A Simple Guide,"Downgrading your plan on Android takes effect at the start of your next billing cycle, so you keep your current features until then.","downgrade plan, reduce plan tier"
KB000018,Subscription and Plans,Everything You Need to Know About Plan Downgrade on Desktop,"Downgrading your plan on Desktop takes effect at the start of your next billing cycle, so you keep your current features until then.","downgrade plan, reduce plan tier"
KB000019,General FAQ,Everything You Need to Know About Getting Started on Desktop,"Getting started with Desktop takes only a minute. Create your account, complete your profile, and explore the quick tour to learn the basics.","getting started, new user guide, quick start"
KB000020,Authentication,Everything You Need to Know About Session Expiration on the Mobile App,"For your security, the Mobile App automatically signs you out after a period of inactivity. Enable the remember me option on trusted personal devices to stay signed in longer between visits.","session expired, signed out automatically, stay logged in, remember me option"
KB000021,Authentication,Enable Your Biometric Login: A Simple Guide,"Fingerprint and face unlock can be enabled on the Website from the security section of your settings. This lets you sign in without typing your password each time, while still keeping your account protected on the device.","enable biometric login, fingerprint login, face id login, device unlock"
KB000022,Privacy and Security,Data Export Requesting: Step by Step,You can request an export of your personal data on the Website from the privacy settings page. The export is prepared as a downloadable file and usually ready within a few days.,"export my data, download personal data, data portability"
KB000023,Authentication,How to Enable Your Biometric Login on Desktop,"Fingerprint and face unlock can be enabled on Desktop from the security section of your settings. This lets you sign in without typing your password each time, while still keeping your account protected on the device.","enable biometric login, fingerprint login, face id login, device unlock"
KB000024,Billing and Payments,Tax Invoice Requesting: Step by Step,A formal tax invoice can be requested from the Website through the billing help center. Provide your billing details and the invoice will be generated and emailed to you.,"tax invoice, vat invoice, billing receipt request"
KB000025,Privacy and Security,How to View Your Privacy Policy on iOS,You can view the privacy policy for iOS at any time from the legal section of your settings. It explains what data is collected and how it is used.,"check privacy policy, privacy policy status, data usage policy"
KB000026,Billing and Payments,Everything You Need to Know About Failed Payment on Android,"A failed payment on Android is usually caused by insufficient funds, an expired card, or a bank decline. Update your payment details and retry the charge from your billing page to avoid any service interruption.","payment failed, card declined, billing issue, retry payment"
KB000027,General FAQ,Pricing Checking: Step by Step,"You can check current pricing for Desktop at any time on the pricing page, which lists every plan and its included features.","check pricing, pricing details, plan cost"
KB000028,Billing and Payments,Currency Changing: Step by Step,You can change your billing currency on the Mobile App from your account preferences. Note that pricing may vary slightly by region due to exchange rates and local taxes.,"change currency, billing currency, pricing region"
KB000029,Orders and Shipping,Check Your Out of Stock: A Simple Guide,"If an item is out of stock on the Website, you can turn on restock notifications to be emailed as soon as it becomes available again.","out of stock, restock notification, item unavailable"
KB000030,Billing and Payments,Payment Method Updating: Step by Step,"Updating your payment method on the Mobile App only takes a moment. Open your billing settings, remove the expired card, and add a new card or payment option. Future charges will automatically use the updated method.","update payment method, change credit card, add payment option, expired card"
KB000031,General FAQ,How to Explore Your Feature Overview on the Mobile App,"A full feature overview for the Mobile App is available in the help center, covering everything from basic setup to advanced tools.","feature overview, what can it do, product features"
KB000032,Authentication,Troubleshoot Your Login Errors: A Simple Guide,"Problems signing in on iOS are often caused by an outdated app version, an expired session, or a typo in your credentials. Clear your cache, confirm your internet connection, and make sure caps lock is off. If the issue continues after several attempts, your account may be temporarily locked for security reasons; wait a few minutes before trying again.","login not working, login error, technical issue, sign in problem, cannot log in"
KB000033,Technical Support,Everything You Need to Know About App Crashing on iOS,"If iOS keeps crashing, start by updating to the latest version, then restart your device. Clearing the app cache or reinstalling it often resolves crashes caused by corrupted temporary files.","app crashing, app keeps closing, force close, app not responding"
KB000034,Account Management,Everything You Need to Know About Email Address on Android,"You can change the email address linked to your account on Android from the account settings page. A confirmation link will be sent to the new address, and it must be verified before the change takes effect.","change email, update email address, verify new email"
